Access denied.,Acces interzis.
Can not find webservice adapter.,Nu s-a gasit adaptor de servicii web.
Client Session Timeout (sec.),Intrerupere sesiune client (sec.)
Default Response Charset,Set caractere raspuns standard
Email,E-mail
Enable WSDL Cache,Activeaza WSDL Cache
General Settings,Setari generale
Invalid webservice adapter specified.,Adaptorul de servicii web specificat nu este valid.
Invalid webservice handler specified.,Handler de servicii web specificat nu este valid.
Magento Core API,Magento Core API
Magento Core API Section,Sectiunea Magento Core API
SOAP/XML-RPC - Roles,Functii SOAP/XML-RPC 
SOAP/XML-RPC - Users,Utilizatori SOAP/XML-RPC
Unable to login.,Logare esuata
User Name,Nume Utilizator
WS-I Compliance,Acord WS-I
Web Services,Sercivii Web
Your account has been deactivated.,Contul dumneavoastra a fost dezactivat.
