* Required Fields,* Campuri Obligatorii
-- Select --,--Selecteaza--
Add New Option,Adauga Optiune Noua
Add Selection,Adauga Selectie
As Low as,Incepand de la
As low as,Incepand de la
Bundle Items,Articole bundle
Bundle Product,Produse bundle
Buy %1$s with %2$s discount each,Cumpara %1$s cu reducere %2$s fiecare
Catalog Product View (Bundle),Vizualizare Produs Catalog (Bundle)
Checkbox,Checkbox
Choose a selection...,Alege o selectie...
Close,Inchide
Default,Standard
Default Qty,Cantitate Standard
Default Title,Titlu implicit
Drop-down,Drop-down
Dynamic,Dinamic
Excl. Tax,Fara TVA
Fixed,Fixat
From,De la
From:,De la:
Gift Message,Mesaj Cadou
Incl. Tax,TVA inclus
Input Type,Tip Input
Is Required,Este obligatoriu
Message:,Mesaj:
Multiple Select,Selectare Multipla
N/A,N/A
No options of this product are available.,Nici o optiune a acestui produs nu este disponibila.
None,Nici una
Percent,Procent
Percent Discount,Procent Reducere
Please Select Products to Add,"Va rugam, selectati produse pentru adaugare"
Please enter search conditions to view products.,"Va rugam, introduceti conditiile de cautare pentru vizualizarea produselor."
Please select options for product.,"Va rugam, selectati optiuni pentru produs."
Please specify product option(s).,"Va rugam, specificati optiunile produsului."
Position,Pozitie
Price Range,Valoare Pret
Price Type,Tip Pret
Price as configured,Pret dupa configuratie
Qty:,Cantitate:
Radio Buttons,Butoane radio
Required options are not selected.,Optiunile necesare nu sunt selectate.
Selected required options are not available.,Optiunile necesare selectate nu sunt disponibile.
Separately,Separat
Ship Bundle Items,Livreaza Articole Bundle
Shipment,Livrare
Store View Title,Titlu Vitrina
"There is no defined renderer for ""%s"" option type.","Nu exista nici o functie redare definita pentru optiunea de tip ""%s""."
This product is also part of bundle(s),Acest produs face parte si dintr-un bundle
To,Catre
To:,Catre:
Together,Impreuna
Use Default Value,Foloseste Valoarea Implicita
User Defined Qty,Cantitate Definita Utilizator
"%1$s incl tax.","%1$s incluzand taxe."
"Buy %1$s","Cumparati %1$s"
"Buy %1$s for","Cumparati %1$s pentru"
"Buy %1$s for %2$s","Cumparati %1$s pentru %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Cumparati %1$s pentru %2$s (%3$s incluzand taxe) fiecare"
"Buy %1$s for %2$s each","Cumparati %1$s pentru %2$s fiecare"
"Click for price","Click pentru pret"
"Excl. Tax:","Fara taxe:"
"Incl. Tax:","Cu taxe:"
"Please enter a number greater 0 in this field.","Va rugam introduceti un numar mai mare ca 0 in acest camp."
SKU,SKU
"Total incl. Tax: %1$s","Total incluzand taxe: %1$s"
and,si
each,fiecare
save,salveaza
