"%d Catalog Price Rules based on ""%s"" attribute have been disabled."," Regulile pret ale catalogului %d  bazate pe atributul ""%s"" au fost dezactivate."
"Actions","Actiuni"
"Active","Activ"
"Add New Rule","Adauga Regula Noua"
"An error occurred while deleting the rule. Please review the log and try again.","A avut loc o eroare in timpul stergerii regulii. Verificati logul si incercati din nou."
"An error occurred while saving the rule data. Please review the log and try again.","A avut loc o eroare in timpul salvarii regulii. Verificati logul si incercati din nou."
"Apply","Aplica"
"Apply Rules","Aplica reguli"
"Attribute Set","Set de Atribute"
"By Fixed Amount","Dupa Cantitatea Fixata"
"By Percentage of the Original Price","Dupa Procentajul Pretului Original"
"Catalog","Catalog"
"Catalog Price Rule","Regula Pret a Catalogului"
"Catalog Price Rules","Reguli Pret ale catalogului"
"Category","Categorie"
"Conditions","Conditii"
"Conditions (leave blank for all products)","Conditii (ramane gol pentru toate produsele)"
"Conditions Combination","Combinatie conditii"
"Customer Groups","Grupuri clienti"
"Date Expire","Data expirarii"
"Date From","De la data"
"Date Start","Data de incepere"
"Date To","Pina la data"
"Description","Descriere"
"Discount Amount","Cantitate Reducere"
"Edit Rule","Modifica regula"
"Edit Rule '%s'","Modifica regula '%s'"
"Enable Discount to Subproducts","Activeaza reducere la subproduse"
"From Date","De la data"
"General Information","Informatii generale"
"ID","ID"
"Inactive","Inactiv"
"New Rule","Regula Noua"
"No","Nu"
"Options","Optiuni"
"Priority","Prioritate"
"Product Attribute","Atribut produs"
"Promotions","Promotii"
"Rule Information","Informatii Regula"
"Rule Name","Nume Regula"
"Save and Apply","Salveaza si Aplica"
"Save and Continue Edit","Salveaza si Continua Modificarea"
"Status","Stare"
"Stop Further Rules Processing","Opreste procesarea altor reguli"
"The rule has been deleted.","Regula a fost stearsa."
"The rule has been saved.","Regula a fost salvata."
"The rules have been applied.","Regulile au fost aplicate."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Exista reguli care au fost schimbate, dar nu au fost aplicate. Va rugam, click Aplica Reguli pentru a vedea efectul imediat in catalog."
"This rule no longer exists.","Aceasta regula nu mai exista."
"To Date","Pina la data"
"To Fixed Amount","La cantitatea fixata"
"To Percentage of the Original Price","La procentajul pretului original"
"Unable to apply rules.","Imposibil de aplicat regulile."
"Unable to find a rule to delete.","Imposibil de gasit o regula de sters."
"Update Prices Using the Following Information","Actualizati preturile folosind urmatoarea informatie"
"Update product's %s %s: %s","Actualizeaza produs  - %s %s: %s"
"Website","Site"
"Websites","Site-uri"
"Wrong rule specified.","Regula gresita specificata."
"Yes","Da"
"Customer registered: %s","Client inregistrat: %s"
"Customer is new buyer: %s","Clientul este cumparator nou: %s"
"Order Invoices","Facturi Comanda"
"Description: %s","Descriere: %s"
"Expire at: %s","Expira la: %s"
"Invoices","Facturi"
"Unable to apply rules","Imposibil de aplicat regulile"
"Comments History","Istoric comentarii"
"Order History","Istoric comenzi"
"Shipments","Livrari"
"Order Shipments","Livrari comenzi"
"Order Gift Messages","Mesaje cadouri"
"Gift Messages","Mesaje cadouri"
"NOT LOGGED IN","Nelogat"
"The page you are trying to save no longer exists","Pagina pe care doriti sa o salvati nu mai exista."
"This rule no longer exists","Aceasta regula nu mai exista"
"Unable to find a page to delete","Imposibil de gasit o pagina de sters"
"Name: %s","Nume: %s"
"Stop further rules processing","Opreste procesarea altor reguli"
"Start at: %s","Porneste la: %s"
"Credit Memos","Note de credit"
"Rule was successfully saved","Regula  a fost salvata cu succes."
"Rule was successfully deleted","Regula  a fost stearsa cu succes."
"Rules were successfully applied","Regulile au fost aplicate cu succes."
"Save Rule","Salveaza regula"
"Delete Rule","Sterge regula"
"Order Credit Memos","Note de credit comanda"
"There are rules that has been changed but not applied. To see immediate effect in catalog, please click Apply Rules","Exista reguli care au fost schimbate, dar nu au fost aplicate. Va rugam, click Aplica Reguli pentru a vedea efectul imediat in catalog."
"Expiration Date","Expiration Date"
"Start Date","Start Date"
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Exista reguli ce au fost modificate dar nu au fost aplicate. Doar utilizatorii cu drepuri depline pot aplica reguli."
Type,Tip
