"%s was added to your shopping cart.","%s a fost adaugat in cosul dumneavoastra."
"%s was updated in your shopping cart.","%s a fost actualizat in cosul dumneavoastra."
"* Required Fields","* Campuri necesare"
"Add New Address","Adauga adresa noua"
"Add New Condition","Adauga conditie noua"
"Add coupon code for shopping cart","Adauga cod cupon pentru cosul de cumparaturi"
"Add gift messages to shopping cart","Adauga mesaj cadou la cosul de cumparaturi"
"Add product to shopping cart","Adauga produs in cos"
"Add product(s) to shopping cart","Adauga produs(e) in cos"
"Add to Cart","Adauga in cos"
"Add to Compare","Adauga pentru a compara"
"Add to Wishlist","Adauga la Favorite"
"Additional Product Info","Informatii suplimentare produs"
"Address","Adresa"
"Address %s of %s","Adresa %s din %s"
"After Adding a Product Redirect to Shopping Cart","Dupa adaugarea unui produs, redirectioneaza catre cosul de cumparaturi"
"Allow Guest Checkout","Permite finalizare comanda ca utilizator anonim"
"Already registered?","Sunteti deja inregistrat?"
"An error occurred in the process of payment","A aparut o eroare la procesul de plata"
"An error occurred while deleting this condition.","A aparut o eroare in timpul stergerii acestei conditii."
"An error occurred while saving this condition.","A aparut o eroare in timpul salvarii acestei conditii."
"Apply Coupon","Foloseste cupon"
"Are you sure you would like to remove this item from the shopping cart?","Sunteti sigur ca doriti sa stergeti acest articol din cos?"
"Back","Inapoi"
"Back to Billing Information","Inapoi la Informatii de Facturare"
"Back to Select Addresses","Inapoi la Selectare Adrese"
"Back to Shipping Information","Inapoi la Informatii de Livrare"
"Back to Shopping Cart","Inapoi la Cos de Cumparaturi"
"Based on your selection, you may be interested in the following items:","Dupa selectia dumneavoastra, ati putea fi interesat de urmatoarele articole:"
"Billing Address","Adresa de facturare"
"Billing Information","Informatii de facturare"
"Billing Information - %s","Informatii de facturare - %s"
"Cancel Coupon","Anuleaza cuponul"
"Cannot add item to the shopping cart.","Articolul nu poate fi adaugat in cos."
"Cannot add the item to shopping cart","Articolul nu poate fi adaugat in cos."
"Cannot add the item to shopping cart.","Articolul nu poate fi adaugat in cos.."
"Cannot apply the coupon code.","Codul cuponului nu poate fi folosit."
"Cannot configure product.","Produsul nu poate fi configurat."
"Cannot open the overview page","Pagina de vizualizare in ansamlu nu poate fi deschisa"
"Cannot process the item.","Articolul nu poate fi procesat."
"Cannot remove the item.","Articolul nu poate fi sters."
"Cannot update shopping cart.","Cosul de cumparaturi nu poate fi actualizat."
"Cannot update the item.","Articolul nu poate fi actualizat."
"Card Verification Number Visual Reference","Referinta vizuala a numarului de verificare a cardului"
"Cart Product API","API produs cos"
"Cart Subtotal:","Subtotal Cos:"
"Change","Modifica"
"Change Billing Address","Modifica adresa de facturare"
"Checkbox Text","Text casuta"
"Checkout","Finalizare comanda"
"Checkout Conditions","Conditii Finalizare comanda"
"Checkout Method","Metode Finalizare comanda"
"Checkout Options","Optiuni Finalizare comanda"
"Checkout Progress Wrapper","Wrapper indicator de progres finalizare comanda"
"Checkout Section","Sectiune Finalizare comanda"
"Checkout Terms and Conditions","Termeni si Conditii Finalizare Comanda"
"Checkout as Guest","Finalizare comanda fara inregistrare"
"Checkout as a Guest or Register","Cumparati fara inregistrare sau Inregistrati-va"
"Checkout with Multiple Addresses","Finalizare comanda cu adrese multiple"
"City","Oras"
"Clear Shopping Cart","Goleste cos cumparaturi"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target=\'_blank\'"">aici pentru printare</a> unei copii a confirmarii comenzii dumneavoastra."
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">here</a> to continue shopping."
"Close","Inchide"
"Company","Firma"
"Condition Name","Nume conditie"
"Configurable Product Image","Imagine produs configurabil"
"Configure Cart Item","Configureaza articol din cos"
"Confirm Password","Confirma parola"
"Content","Continut"
"Content Height","Inaltimea continutului"
"Content Height (css)","Inaltimea continutului (css)"
"Continue","Continua"
"Continue Shopping","Continua cumparaturile"
"Continue to Billing Information","Continua spre Informatii Facturare"
"Continue to Review Your Order","Continua spre Revizuire Comanda"
"Continue to Shipping Information","Continua spre Informatii Livrare"
"Country","Tara"
"Coupon code ""%s"" is not valid.","Codul cuponului ""%s"" nu este valid."
"Coupon code ""%s"" was applied.","Codul cuponului ""%s""a fost folosit."
"Coupon code was canceled.","Codul cuponului a fost anulat."
"Create Billing Address","Creaza adresa de facturare"
"Create Shipping Address","Creaza adresa de livrare"
"Create an order from shopping cart","Creaza o comanda din cosul de cumparaturi"
"Create shopping cart","Creaza cos de cumparaturi"
"Customer Address is not valid.","Adresa clientului nu este valida."
"Customer Information","Informatii client"
"Customer's information","Informatiile clientului"
"Data saving problem","Probleme cu salvarea datelor"
"Default Billing","Facturare standard"
"Default Shipping","Livrare standard"
"Delete Condition","Sterge Conditie"
"Details","Detalii"
"Disabled","Dezactivat"
"Discount Codes","Coduri pentru reduceri"
"Display Cart Summary","Afiseaza detalii cos"
"Display Shopping Cart Sidebar","Afiseaza lateral cosul de cumparaturi"
"Display item quantities","Afiseaza cantitatile produselor"
"Display number of items in cart","Afiseaza numarul de articole din cos"
"Display number of items in wishlist","Afiseaza numarul de articole din Favorite"
"Easy access to your order history and status","Acces rapid si facil la istoricul si starea comenzilor"
"Edit","Editeaza"
"Edit Address","Editeaza Adresa"
"Edit Billing Address","Editeaza Adresa de Facturare"
"Edit Condition","Editeaza Conditie"
"Edit Items","Editeaza articole"
"Edit Shipping Address","Editeaza Adresa de Livrare"
"Edit Terms and Conditions","Editeaza Termenii si Conditiile"
"Edit Your Cart","Editeaza cosul"
"Edit item","Editeaza articol"
"Edit item parameters","Editeaza parametrii articolului"
"Email Address","Adresa e-mail"
"Enable Onepage Checkout","Activeaza finalizare pe o singura pagina"
"Enable Terms and Conditions","Activare Termeni si Conditii"
"Enabled","Activat"
"Enter a New Address","Introduceti o adresa noua"
"Enter your coupon code if you have one.","Daca detineti un cupon de reducere, introduceti codul aici."
"Enter your destination to get a shipping estimate.","Introduceti destinatia pentru a afla costul estimativ al livrarii."
"Estimate Shipping and Tax","Estimare cost transport cu TVA inclus"
"Excl. Tax","Fara TVA"
"Fast and easy check out","Finalizare rapida si usoara"
"Fax","Fax"
"Forgot an Item?","Ati uitat un articol?"
"Forgot your password?","Ati uitat parola?"
"Get a Quote","Obtine oferta "
"Get list of available payment methods","Obtine lista de metode de plata disponibile"
"Get list of available shipping methods","Obtine lista de metode de livrare disponibile"
"Get list of products in shopping cart","Obtine lista de produse din cos"
"Get terms and conditions","Obtine Termeni si Conditii"
"Get total prices for shopping cart","Obtine suma totala a articolelor din cos"
"Gift Message","Mesaj cadou"
