"-- Please Select --","-- Va rugam selectati --"
"Add to Cart","Adauga in cos"
"Choose an Option...","Alegeti o optiune..."
"Configurable Swatches","Swatch-uri configurabile"
Enabled,Activat
"General Settings","Setari generale"
Height,Inaltime
"In Stock","In stoc"
"Innermost dimensions, not including border, in pixels","Dimensiuni interne, fara margini, in pixeli"
"Out of Stock","Stoc epuizat"
Previous,Antecedent
"Product Attribute to Use for Swatches in Product Listing","Atribut produs ce va fi folosit pentru swatch-uri in pagina de listare produse"
"Product Attributes to Show as Swatches in Product Detail","Atribut produs ce va fi folosit pentru swatch-uri in pagina de detalii produs"
"Remove This Item","Scoate acest item"
"Swatch Dimensions in Layered Navigation","Dimensiuni swatch-uri in navigarea stratificata"
"Swatch Dimensions in Product Listing","Dimensiuni swatch-uri in listarea de produse"
"Swatch Dimensions on Product Detail Page","Dimensiuni swatch-uri in pagina detalii produs"
Width,Latime
