%s,%s
%s already exist.,%s deja exista.
%s already exists.,%s deja exista.
-- Please Select --,-- Alege --
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Atentie!</strong> Cand folositi CDN, in unele cazuri JavaScript nu va rula corect daca CDN nu se afla in subdomeniu."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Atentie!</strong> Cand folositi Cod Magazin in URL-uri, in unele cazuri sistemul nu va functiona corect daca URL-urile fara Cod Magazin sunt specificate in serviciile tertilor (ex. PayPal etc.)."
A category object is required for determining the product request path.,Un obiect de tip categorie este necesar pentru determinarea caii de solicitare a produsului.
Add Block Names to Hints,Adauga nume bloc la indicii
Add Secret Key to URLs,Adauga cod secret la URL-uri
Add Store Code to Urls,Adauga codul magazinului la Url
Admin,Admin
Admin Base URL,URL de baza Admin
Admin User Emails,E-mail-uri utilizator Admin
Advanced,Avansat
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Dupa selectarea unei noi locatii de stocare media, apasati butonul Sincronizare
                               pentru a transfera toate fisierele media la acea locatie. Fisierele media nu vor fi disponibile in noua locatie pana la finalizarea procesului de sincronizare."
Allow Countries,Admite tari
Allow Symlinks,Permite Symlinks
Allowed IPs (comma separated),IP-uri permise (separate de virgula)
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipuri fisiere permise: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Nu toate browser-ele suporta toate aceste formate!"
Allows customers to stay logged in when switching between different stores.,Permite clientilor sa ramana logati la comutarea intre diferitele magazine.
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Text alternativ pentru link-ul urmator din meniul de paginatie. Daca este necompletat, imaginea sageata standard va fi folosita."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Text alternativ pentru link-ul anterior din meniul de paginatie. Daca este necompletat, imaginea sageata standard va fi folosita."
An error occurred while saving. Please review the error log.,"A aparut o eroare in timpul salvarii, Va rugam, revizuiti logul de erori."
Anchor Text for Next,Anchor text pentru Urmatoarea pagina
Anchor Text for Previous,Anchor text pentru Pagina anterioara
Anchor symbol (#) is not supported in request path,Simbolul (#) nu este suportat in calea de solicitare.
Anchor symbol (#) is not supported in url rewrite suffix,Simbolul (#) nu este suportat in sufixul de rescriere url
Are you sure?,Esti sigur?
Auto-redirect to Base URL,Auto-redirectionare la URL-ul de baza
Back,Inapoi
Backup Options,Optiuni Backup
Base JavaScript URL,Base JavaScript URL
Base Link URL,Base Link URL
Base Media URL,Base Media URL
Base Secure URL,Base Secure URL
Base Skin URL,Base Skin URL
Base URL,Base URL
Base Unsecure URL,Base Unsecure URL
Before modifying the store view code please make sure that it is not used in index.php.,Inainte de a modifica codul vitrinei verifica sa nu fie folosit in index.php.
Before modifying the website code please make sure that it is not used in index.php.,Inainte de a modifica codul site-ului verifica sa nu fie folosit in index.php.
"Block with name ""%s"" already exists","Blocul cu numele ""%s"" exista deja"
Browser Capabilities Detection,Detectarea capacitatilor browser-ului
CSS Settings,Setari CSS
Cache Storage Management,Administrare stocare Cache
Cache storage may contain additional data. Are you sure that you want flush it?,Depozitul cache poate contine date aditionale. Sunteti sigur ca vreti sa-l goliti?
Can not create invoice. Order was not found.,Factura nu a putut fi creata. Comanda nu a fost gasita.
Can't retrieve request object,Nu s-a gasit obiectul cerut
Can\'t retrieve entity config: %s,Nu se poate gasi configurarea entitatii: %s
Cancel,Anuleaza
Cannot complete this operation from non-admin area.,Nu se poate finaliza aceasta operatiune din zona non-admin.
Card type does not match credit card number.,Tipul cardului nu corespunde cu numarul cardului de credit.
Code,Cod
Controller file was loaded but class does not exist,Controller-ul a fost incarcat dar nu exista clasa
Cookie Domain,Domeniu Cookie
Cookie Lifetime,Perioada de viata Cookie
Cookie Path,Cale Cookie
Cookie Restriction Mode,Mod restrictionare Cookie
Copyright,Copyright
Core,Nucleu
Countries Options,Optiuni tari
Country,Tara
Create Store,Creaza magazin
Create Store View,Creaza vitrina
Create Website,Creaza site
Credit card number does not match credit card type.,Numarul cardului de credit nu corespunde cu tipul cardului.
Current Package Name,Nume pachet curent
Custom Admin Path,Cale admin personalizata
Custom Admin URL,URL admin personalizat
Custom Design,Design personalizat
Custom Email 1,E-mail Personalizat 1
Custom Email 2,E-mail personalizat 2
Custom Variables,Variabile personalizate
Custom1 Contact Email,E-mail contact personalizat 1
Custom1 Contact Name,Nume contact personalizat 1
Custom2 Contact Email,E-mail contact personalizat 2
Custom2 Contact Name,Nume contact personalizat 2
Customer Support,Relatii cu clientii
Dashboard,Panou de control
Date From,Data de la
Date To,Data pana la
"Date/time format ""%s"" is not supported.","Formatul data/timp ""%s"" nu este suportat."
Debug,Depanare
Default,Standard
Default Country,Tara standard
Default Description,Descriere standard
Default Keywords,Cuvinte cheie standard
Default No-route URL,URL no-route standard
Default Pages,Pagini standard
Default Robots,Roboti standard
Default Store,Magazin standard
Default Store View,Vitrina standard
Default Title,Titlu standard
Default Web URL,URL web standard
Delete,Sterge
Delete Store,Sterge magazin
Delete Store View,Sterge vitrina
Delete Website,Sterge site
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Stergerea unui %1$s nu va sterge informatiile asociate cu %1$s (ex. categorii, produse, etc.), dar %1$s nu se va putea recupera. Este recomandat sa creati un backup al bazei de date inainte de a sterge %1$s."
Design,Design
Design Change,Schimbare de design
Developer,Dezvoltator
Developer Client Restrictions,Restrictii client dezvoltator
Disable Email Communications,Dezactiveaza comunicatiile e-mail
Disable Modules Output,Dezactiveaza output-ul modulelor
Display Demo Store Notice,Afiseaza anuntul magazinu demo
Duplicate Of Template Name,Duplicat  nume sablon
Edit Design Change,Modifica schimbarea de design
Edit Store,Modifica magazin
Edit Store View,Modifica vitrina
Edit Website,Modifica site
Empty identifier field name,Goleste numele de camp al identificatorului
Empty main table name,Goleste numele tabelului principal
Enable Charts,Activeaza grafice
Enabled,Activat
Enabled for Admin,Activat pentru admin
Enabled for Frontend,Activat pentru client
Environment Update Time,Timp actualizare mediu
"Error in file: ""%s"" - %s","Eroare in fisier: ""%s"" - %s"
European Union Countries,Tari din Uniunea Europeana
Exceptions Log File Name,Numele fisierului de exceptii
Favicon Icon,Pictograma Favicon
File %s does not exist,Fisierul %s nu exista
File %s is not readable,Fisierul %s nu poate fi citit
File not found,Fisierul nu a fost gasit
File system,Sistem fisiere
"File with an extension ""%value%"" is protected and cannot be uploaded","Un fisier cu extensia ""%value%"" este protejat si nu poate fi incarcat"
First Day of Week,Prima zi a saptamanii
Flush Cache Storage,Goleste depozitul cache
Flush Magento Cache,Goleste cache-ul Magento
Footer,Footer
Forgot Password Email Sender,Expeditor e-mail parole uitate
Forgot Password Email Template,Sablon e-mail parole uitate
General,General
General Contact,Contact General
General Contact Email,E-mail Contact General
General Contact Name,Nume Contact General
General Settings,Setari generale
Get info about current Magento installation,Obtine informatii despre instalarea curenta Magento
Global,Global
HTML Head,HTML Head
HTML tags are not allowed,Nu sunt permise etichetele HTML
Header,Header
Host,Host
How many links to display at once.,Cate link-uri sa fie afisate in acelasi timp.
ID Path for Specified Store,Cale ID pentru magazinul specificat
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Daca pozitia curenta a intervalului nu acopera majoritatea paginilor, va reda link-ul catre pozitia curenta plus/minus aceasta valoare."
Incorrect credit card expiration date.,Data de expirare a cardului este incorecta.
"Input type ""%value%"" not found in the input types list.","Tipul de input ""%value%"" nu a fost gasit in lista de tipuri de input."
Invalid URL '%value%'.,Valoare URL nevalida '%value%'.
Invalid base url type,Tip url de baza nevalid
Invalid block name to set child %s: %s,Nume bloc nevalid pentru child setat %s: %s
Invalid block type: %s,Tip bloc nevalid: %s
Invalid block: %s,Bloc nevalid: %s
Invalid connection,Conexiune nevalida
Invalid layout update handle,Manipularea actualizarii layout-ului este nevalida
"Invalid messages storage ""%s"" for layout messages initialization","Stocarea mesajelor ""%s"" este incorecta pentru initializarea mesajelor de layout"
Invalid query,Cerere nevalida
Invalid transactional email code:,Cod e-mail de tranzactie navalid:
Invalid website\'s configuration path: %s,Cale configuratie site nevalida: %s
JavaScript Settings,Setari JavaScript
Layout,Layout
Leave empty for access from any location.,Lasati liber pentru acces din orice locatie
List of stores,Lista de magazine
Locale,Limba
Locale Options,Optiuni Limba
Log Settings,Setari Jurnal
Logging from Mage::log(). File is located in {{base_dir}}/var/log,Logare din Mage::log(). Fisierul se afla in {{base_dir}}/var/log
Logging from Mage::logException(). File is located in {{base_dir}}/var/log,Logare din Mage::logException(). Fisierul se afla in {{base_dir}}/var/log
Login is Case Sensitive,Logarea este sensibila la majuscule
Logo Image,Imagine sigla
Logo Image Alt,Atribut alt pentru sigla
Logo Image Src,Atribut src pentru sigla
Magento info,Magento info
Magento info API,Magento info API
Mail Sending Settings,Setari trimitere e-mail
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Asigurati-va ca URL-ul de baza se termina cu '/' (slash), ex. http://domeniultau/magento/"
Manage Stores,Administrare magazine
Match expressions in the same order as displayed in the configuration.,Potriveste expresiile in aceeasi ardine ca cea afisata in configuratie.
Media Storage,Stocare media
Merge CSS Files,Imbina fisierele CSS
Merge JavaScript Files,Imbina fisierele JavaScript
Miscellaneous HTML,HTML Diverse
Miscellaneous Scripts,Script-uri diverse
Model collection resource name is not defined.,Nume resursa colectie model nedefinit.
"Module ""%1$s"" cannot depend on ""%2$s"".","Modulul ""%1$s"" nu poate depinde de ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Modulul ""%1$s"" necesita modulul ""%2$s""."
Name,Nume
New Design Change,Schimbare de design noua
New Store,Magazin nou
New Store View,Vitrina noua
New Website,Site nou
No,Nu
Offloader header,Antet descarcare (offloader)
PHP SOAP extension is required.,Extensia SOAP PHP este necesara
Package,Pachet
Pagination,Paginatie
Pagination Frame,Rama pagina
Pagination Frame Skip,Omite inramarea paginii
Parent directory does not exist: %s,Directorul parinte nu exista: %s
"Path ""%value%"" is not available and cannot be used.","Calea ""%value%"" nu este disponibila si nu poate fi folosita."
"Path ""%value%"" is protected and cannot be used.","Calea ""%value%"" este protejata si nu poate fi folosita."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Calea ""%value%"" se poate sa nu includa traversarea directorului parinte (""../"", ""..\\)."""
Please define flag code.,Va rugam sa definiti codul steagului.
Please enter 6 or more characters. Leading or trailing spaces will be ignored.,"Trebuie sa introduceti 6 sau mai multe caractere, spatiile libere sunt ignorate."
Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.,Va rugam sa introduceti 7 sau mai multe caractere. Parola ar trebui sa contina si cifre si litere.
Please enter a number 0 or greater in this field.,Va rugam sa introduceti cifra 0 sau mai mare in acest camp.
Please enter a number 1 or greater in this field.,Va rugam sa introduceti cifra 1 sau mai mare in acest camp.
Please enter a number greater than 0 in this field.,Va rugam sa introduceti o cifra mai mare decat 0 in acest camp.
Please enter a number lower than 100.,Va rugam sa introduceti un numar mai mic decat 100.
Please enter a valid $ amount. For example $100.00.,Introduceti o valoare $ valida. De exemplu $100.00.
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Va rugam sa introduceti un cod URL valid. De exemplu ""pagina-exemplu"", ""pagina-exemplu.html"" sau ""altnivel/pagina-exemplu""."
Please enter a valid URL. For example http://www.example.com or www.example.com,Va rugam sa introduceti un URL valid. De exemplu http://www.example.com sau www.example.com
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Va rugam sa introduceti un URL valid. Protocolul este necesar (http://, https:// or ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Va rugam sa introduceti un identificator XML valid. De exemplu something_1, block5, id-4."
Please enter a valid credit card number.,Va rugam sa introduceti un numar de card valid.
Please enter a valid credit card verification number.,Va rugam sa introduceti un numar de verificare card valid.
Please enter a valid date between %s and %s,Va rugam sa introduceti o data valida cuprinsa intre %s si %s
Please enter a valid date equal to or greater than %s,Va rugam sa introduceti o data valida mai mare sau egala cu %s
Please enter a valid date less than or equal to %s,Va rugam sa introduceti o data valida mai mica sau egala cu %s
Please enter a valid date.,Introduceti o data valida.
Please enter a valid day (1-%d).,Va rugam sa introduceti o zi valida (1-%d).
Please enter a valid email address. For example johndoe@domain.com.,Va rugam sa introduceti un e-mail valid. De exemplu popescuion@domeniu.com.
Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.,Va rugam sa introduceti un numar de fax valid. De exemplu (123) 456-7890 sau 123-456-7890.
Please enter a valid full date,Va rugam sa introduceti o data intrega valida
Please enter a valid month (1-12).,Va rugam sa introduceti o luna valida (1-12).
Please enter a valid number in this field.,Va rugam sa introduceti o valoare valida in acest camp.
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,Va rugam sa introduceti un numar de telefon valid 10 caractere.
Please enter a valid social security number. For example 123-45-6789.,Va rugam sa introduceti un SSN valid. De exemplu 123-45-6789
Please enter a valid year (1900-%d).,Va rugam sa introduceti un an valid (1900-%d).
Please enter a valid zip code.,Va rugam sa introduceti un cod postal valid.
Please enter a valid zip code. For example 90602 or 90602-1234.,Va rugam sa introduceti un cod postal valid. De exemplu 90602 sau 90602-1234.
Please enter issue number or start date for switch/solo card type.,Va rugam sa introduceti un numar de emitere sau data de activare pentru cardurile de tip switch/solo.
Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.,Va rugam sa introduceti o lungime CSS valida.. De exemplu 100px sau 77pt sau 20em sau .5ex sau 50%.
Please make sure your passwords match.,Va rugam sa va asigurati ca parolele coincid.
Please select State/Province.,Alege judetul
Please select a file,"Va rugam, selectati un fisier"
Please select an option.,"Va rugam, selectati o optiune"
Please select one of the above options.,"Va rugam, selectati una din optiunile de mai jos"
Please select one of the options.,"Va rugam, selectati una din optiuni."
Please set available and/or protected paths list(s) before validation.,"Va rugam, setati listele de cai disponibile si/sau protejate inainte de validare."
"Please specify either a category or a product, or both.","Va rugam, specificati o categorie sau un produs sau ambele."
Please use letters only (a-z or A-Z) in this field.,"Va rugam, folositi numai litere (a-z sau A-Z) in acest camp."
Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.,"Va rugam, folositi numai cifre in acest camp. Va rugam sa evitati spatiile si alte caractere cum ar fi punctele si virgulele."
Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.,"Va rugam, folositi numai litere (a-z sau A-Z) sau cifre (0-9) in acest camp. Nu sunt permise spatiile si alte caractere."
Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.,"Va rugam, folositi numai litere (a-z sau A-Z), cifre (0-9) sau spatii si # in acest camp"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Va rugam, folositi numai litere (a-z sau A-Z), cifre (0-9) sau underscore(_)  in acest camp, primul caracter trebuie sa fie o litera."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Va rugam, folositi numai litere (a-z), cifre (0-9) sau underscore(_)  in acest camp, primul caracter trbuie sa fie o litera."
Please use only visible characters and spaces.,"Va rugam, folositi numai caractere vizibile si spatii."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Va rugam, folositi acest format de data: ZZ/LL/AAAA. De exemplu 17/03/2006 pentru 17 Martie, 2006."
"Please wait, loading...",Se Incarca...
Polls,Chestionare
Port (25),Port (25)
Profiler,Profiler
Recovery Link Expiration Period (days),Perioada de expirare a link-ului de recuperare
Request Path for Specified Store,Solicita cale pentru magazinul specificat
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Fisierul solicitat poate sa nu includa traversarea directorului parinte (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","Magazin solicitat nevalid ""%s"""
Resource is not set.,Resursa nu este setata
Retrieve info about current Magento installation,Obtine informatii despre instalarea curenta Magento
Retrieve store data,Obtine date magazin
Retrieve store list,Obtine lista magazine
Return-Path Email,E-mail cale de intoarcere
Root Category,Categorie Principala
Sales Representative,Reprezentant vanzari
Sales Representative Contact Email,E-mail de contact reprezentant vanzari
Sales Representative Contact Name,Nume contact reprezentant vanzari
Save,Salveaza
Save Store,Salveaza magazin
Save Store View,Salveaza vitrina
Save Website,Salveaza site
Search Engines Optimization,Optimizarea motorului de cautare
Secure,Securizat
Security,Siguranta
Select Date,Selecteaza Data
Select Media Database,Selecteaza baza de date Media
Sender Email,E-mail expeditor
Sender Name,Nume expeditor
Services,Servicii
Session Cookie Management,Administrare cookie sesiune
Session Lifetime (seconds),Durata sesiunii (secunde)
Session Validation Settings,Setari validare sesiune
Set Return-Path,Seteaza cale de intoarcere
Set as Default,Seteaza ca standard
Skin (Images / CSS),Tema (Imagini / CSS)
Sort Order,Sorteaza comanda
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Data/timpul specificat ""%1$s"" nu corespunde cu formatul ""%2$s""."
Start date cannot be greater than end date.,Data de incepere nu poate fi mai mare decat data de finalizare.
Startup Page,Pagina de start
Status,Stare
Storage Configuration for Media,Configurare stocare pentru media
Store,Magazin
Store API,API magazin
Store Contact Address,Adresa de contact magazin
Store Contact Information,Informatii de contact magazin
Store Contact Telephone,Telefon de contact magazin
Store Email Addresses,Adrese e-mail pentru magazin
Store Information,Informatii magazin
Store Name,Nume magazin
Store View,Vitrina
Store View Information,Informatii vitrina
Store View Name,Nume vitrina
Store view doesn't exist,Vitrina nu exista
Store with the same code,Magazin cu acelasi cod
System,Sistem
System Log File Name,Nume fisier log
Template Path Hints,Indicii cale sablon
Template Settings,Setari sablon
Template Variables,Variabile sablon
Templates,Sabloane
Text length does not satisfy specified text range.,Lungimea textului nu satisface intervalul text specificat.
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","%s introdus nu este valid. Va rugam asigurati-va ca respecta acest format  ""http://domain.com/""."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Codul magazinului trebuie sa contina numai litere (a-z), cifre (0-9) sau underscore(_), primul caracter trebuie sa fie o litera."
The store does not exist,Magazinul nu exista
The store has been deleted.,Magazinul a fost sters.
The store has been saved.,Magazinul a fost salvat.
The store view has been deleted.,Vitrina a fost stearsa.
The store view has been saved,Vitrina a fost salvata.
The template Name must not be empty.,Numele sablonului nu trebuie sa fie gol.
The value is not within the specified range.,Valoarea nu se afla in intervalul specificat.
The website does not exist.,Site-ul nu exista.
The website has been deleted.,Site-ul a fost sters.
The website has been saved.,Site-ul a fost salvat.
Themes,Teme
This category and all its child elements,Aceasta categorie si toate elementele ei copil
This category and its child categories only,Aceasta categorie si categoriile sale copil
This category and its products only,Aceasta categorie si produsele sale
This category only,Doar aceasta categorie
This date is a required value.,Aceasta data este o valoare necesara.
This is a required field.,Acest camp este obligatoriu.
This store cannot be deleted.,Acest magazin nu poate fi sters.
This store view cannot be deleted.,Aceasta vitrina nu poate fi stearsa.
This website cannot be deleted.,Acest site nu poate fi sters.
This will be displayed just before body closing tag.,Acesta va fi afisat inainte de body closing tag.
This will be included before head closing tag in page HTML.,Acesta va fi inclus inainte de head closing tag in HTML pagina.
Timezone,Zona fus orar
Title Prefix,Prefix titlu
Title Suffix,Sufix titlu
Transactional Emails,E-mail-uri de tranzactie
Translate Inline,Traducere Inline
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Traducere, blocuri si alte cache-uri ar trebui dezactivate pentru tranzactiile inline atat pentru client cat si pentru admin."
Translations,Traduceri
Two and more slashes together are not permitted in request path,Doua sau mai multe slash-uri consecutive nu sunt permise in calea de solicitare
Two and more slashes together are not permitted in url rewrite suffix,Doua sau mai multe slash-uri consecutive nu sunt permise in sufixul de rescriere URL
Unable to create directory: %s,Nu se poate crea directorul: %s
"Unable to delete store view. Please, try again later.","Vitrina nu a putut fi stearsa. Va rugam, incercati mai tarziu."
"Unable to delete store. Please, try again later.","Magazinul nu a putut fi sters.Va rugam, incercati mai tarziu."
"Unable to delete website. Please, try again later.","Site-ul nu a putut fi sters. Va rugam, incercati mai tarziu."
"Unable to proceed. Please, try again",Nu s-a putut continua operatiunea. Incercati din nou.
"Unable to proceed. Please, try again.",Nu s-a putut continua operatiunea. Incercati din nou.
"Unable to save file ""%s"" at ""%s""","Fisierul ""%s"" nu a putut fi salvat la ""%s"""
Unable to save file: %s,Fisierul nu a putut fi salvat: %s
Unknown old style column type definition: {$definition}.,Definitie tip coloana pe stil vechi necunoscuta: {$definition}.
"Unknown scope ""%s"".","Scop necunoscuta ""%s""."
Unsecure,Nesecurizat
Url Options,Optiuni URL
Use Custom Admin Path,Foloseste cale admin personalizata
Use Custom Admin URL,Foloseste URL admin personalizat
Use HTTP Only,Foloseste numai HTTP
Use SID on Frontend,Foloseste SID in modul client
Use Secure URLs in Admin,Foloseste URL-uri securizate in modul admin
Use Secure URLs in Frontend,Foloseste URL-uri securizate in modul client
Use Web Server Rewrites,Foloseste rescrieri server web
VAT Number,Numar VAT
Validate HTTP_USER_AGENT,Valideaza HTTP_USER_AGENT
Validate HTTP_VIA,Valideaza HTTP_VIA
Validate HTTP_X_FORWARDED_FOR,Valideaza HTTP_X_FORWARDED_FOR
Validate REMOTE_ADDR,Valideaza REMOTE_ADDR
Validation has failed.,Validarea a esuat
Values less than 60 are ignored. Note that changes will apply after logout.,Valorile mai mici de 60 sunt ignorate. Schimbarile vor avea efect dupa delogare.
Variable Code must be unique.,Codul variabilei trebui sa fie unic.
Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.,Atentie! Activarea acestei caracteristici nu este recomandata in mediul de productie deoarece aceasta reprezinta un potential risc de securitate.
Web,Web
Website,Site
Website Information,Informatii site
Website Name,Nume site
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Codul site-ului trebuie sa contina numai litere (a-z), cifre (0-9) sau underscore(_), primul caracter trebuie sa fie o litera."
Website with the same code,Site cu acelasi cod
Weekend Days,Zile weekend
Welcome Text,Text de intampinare
Wrong file info format,Format informatii fisier incorect
Wrong number of arguments for %s,Numar incorect de argumente pentru %s
Wrong old style column type definition: {$definition}.,Definitie tip coloana pe stil vechi incorecta: {$definition}.
Yes,Da
You will have to log in after you save your custom admin path.,Trebuie sa va logati dupa ce salvati calea admin personalizata.
"Your design change for the specified store intersects with another one, please specify another date range.","Schimbarea design-ului pentru magazinul specificat se intersecteaza cu alta, va rugam sa specificati un alt inteval de date."
"database ""%s""","Baza de date ""%s"""
%s already exists,%s exista deja
%s already exist,%s exista deja
* Required Fields,* Camp Obligatoriu
This category and its products,Aceasta categorie si produsele ei
This category and its child categories,Aceasta categorie si subcategoriile ei
This Store View cannot be deleted,Aceasta vitrina nu poate fi stearsa.
This Store View cannot be deleted.,Aceasta vitrina nu poate fi stearsa.
This Store cannot be deleted,Acest magazin nu poate fi sters.
This Store cannot be deleted.,Acest magazin nu poate fi sters.
This Website cannot be deleted,Acest site nu poate fi sters.
This Website cannot be deleted.,Acest site nu poate fi sters.
Base directory,Directorul de baza
Database was successfuly backed up.,Backup pentru baza de date a fost creat cu succes.
Clear All Items,Sterge toate articolele
Code pools root directory,Code pools root directory
Comment,Comentariu
Compare Products,Compara produse
Compare Items,Compara articole
Compare Products - %d Items,Compara Produse - %d Articole
Contact Information,Informatii contact
General contact,Contact principal
Contact Us,Contactati-ne
Cron (Scheduled Tasks) - all the times are in minutes,Cron (sarcini programate) - toate timpurile sunt in minute
Current package name,Numele pachetului curent
Default no-route url,Default no-route url
Default web url,Default web url
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Stergerea unei vitrine nu va sterge informatiile asociate cu vitrina (ex. categorii, produse, etc.), dar vitrina nu se va putea recupera. Este recomandat sa creati un backup al bazei de date inainte de a sterge vitrina."
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Stergerea unui magazin nu va sterge informatiile asociate cu vitrina (ex. categorii, produse, etc.), dar magazinul nu se va putea recupera. Este recomandat sa creati un backup al bazei de date inainte de a sterge magazinul."
