Add,Adauga
Add New Row,Adauga Rand Nou
Add links and samples to downloadable product,Adauga link-uri si mostre pentru produsul descarcabil
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Caracterele alfanumerice, cratima si underscore(_) sunt recomandate pentru numele de fisiere . Caracterele neobisnuite sunt inlocuite cu \'_\'."
An error occurred while getting the requested content.,A aparut o eroare in timpul obtinerii continutului solicitat.
An error occurred while getting the requested content. Please contact the store owner.,"A aparut o eroare in timpul obtinerii continutului solicitat. Va rugam, contactati proprietarul magazinului."
An error occurred while saving the file(s).,A aparut o eroare in timpul salvarii fisierelor.
Availability:,Disponibilitate:
Back,Inapoi
Canceled,Anulat
"Cannot connect to remote host, error: %s.","Nu se poate conecta la server-ul remote, eroare: %s."
Catalog Product View (Downloadable),Vizualizare Produs Catalog (Descarcabil)
Category API,API Categorie
Customer My Account Downloadable Items,Articole Descarcabile Contul Meu Client
Date,Data
Default Link Title,Titlu link standard
Default Maximum Number of Downloads,Numar maxim de descarcari standard
Default Sample Title,Titlu standard de prezentare
Delete,Sterge
Disable Guest Checkout if Cart Contains Downloadable Items,Dezactiveaza cumpararea pentru vizitatori anonimi daca cosul contine articole descarcabile
Downloadable Information,Informatii decarcabile
Downloadable Product,Produs decarcabil
Downloadable Product Options,Optiuni produs decarcabile
Downloadable Product Section,Sectiune produs decarcabila
Edit,Editeaza
Edit item parameters,Editeaza parametrii articolului
Excl. Tax,Fara TVA
File,Fisier
From:,De la:
Gift Message,Mesaj cadou
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">Produsele Mele Descarcabile</a>"
Guest checkout will only work with shareable.,Cumpararea de catre vizitatori anonimi va functiona numai cu partajare.
In stock,In stoc
Incl. Tax,TVA inclus
Invalid download URL host.,Descarcare server URL nevalida.
Invalid download URL scheme.,Descarcare schema URL nevalida.
Invalid download link type.,Descarcare  tip link nevalida.
Invoiced,Facturat
Links can be purchased separately,Link-urile pot fi achizitionate separat
List,Lista
Max. Downloads,Maxim Descarcari
Message:,Mesaj:
Move,Muta
My Downloadable Products,Produsele Mele Descarcabile
Open Links in New Window,Deschide link-uri in fereastra noua
Order #,Comanda #
Order Item Status to Enable Downloads,Stare Articol Comanda pentru Activare Descarcari
Order id cannot be null,Id comanda nu pate fi nul
Order item id cannot be null,Id comanda nu pate fi nul
Ordered,Comandat
Out of stock,Nu este in stoc
Pending,In asteptare
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Va rugam, logati-va pentru a descarca produsul sau achizitia <a href=""%s"">%s</a>."
Please log in to download your product.,"Va rugam, logati-va pentru a descarca produsul."
Please set resource file and link type.,"Va rugam, setati fisier resurse si tip link."
Please specify product link(s).,"Va rugam, specificati link-ul/link-urile produsului."
Price,Pret
Product downloadable links,Link-uri descarcare produs
Qty,Cantitate
Refunded,Rambursat
Remaining Downloads,Descarcari ramase
Remove,Sterge
Remove Item,Sterge Articol
Remove links and samples from downloadable product,Sterge link-uri si mostre din produsul descarcabil
Requested link does not exist.,Link-ul solicitat nu exista.
Retrieve links and samples list from downloadable product,Recupereaza link-uri si mostre din produsul descarcabil
Sample,Mostra
See price before order confirmation.,Vizualizeaza pret inainte de confirmarea comenzii.
Shareable,Partajabil
Shipped,Livrat
"Sorry, there was an error getting requested content. Please contact the store owner.","Ne pare rau, a aparut o eroare in obtinerea continutului solicitat.Va rugam, contactati proprietarul magazinului."
Sort Order,Sortare Comanda
Start Download,Porneste Descarcare
Status,Stare
The file does not exist.,Fisierul nu exista.
The link has expired.,Link-ul a expirat.
The link is not available.,Link-ul nu este disponibil.
There are files that were selected but not uploaded yet. Please upload or remove them first,"Exista fisiere care au fost selectate, dar nu au fost incarcate inca. Va rugam, intai incarcati-le sau stergeti-le."
Title,Title
To:,Catre:
U,U
Unlimited,Nelimitat
Use Content-Disposition,Foloseste Dispunere-Continut
Use Default Value,Foloseste valoarea standard
View Order,Vizualizare Comanda
What's this?,Ce este aceasta?
You have not purchased any downloadable products yet.,Nu ati achizitionat inca nici un produs descarcabil.
attachment,anexa
download,descarcare
inline,inline
sample,mostra
