%s Item(s),%s Articol(e),
&copy; 2012 Magento Demo Store. All Rights Reserved.,&copy; 2012 Magazin Demo Magento. Toate drepturile rezervate.,
(Shift-)Click or drag to change value,(Shift-)Click sau trage pentru a schimba valoarea,
(ver. %s),(ver. %s),
Click on any of the time parts to increase it,Click pe oricare din partile datei pentru a mari,
Hold mouse button on any of the above buttons for faster selection.,Tineti apasat butonul mouse-ului pe oricare din butoanele de mai sus pentru o selectie mai rapida .,
Use the %s buttons to select month,Folositi butoanele  %s pentru a selecta luna,
"Use the %s, %s buttons to select year","Folositi butoanele %s, %s pentru a selecta anul",
or Shift-click to decrease it,sau Shift-click pentru a micsora,
or click and drag for faster selection.,sau click si trage pentru o selectie mai rapida.,
Please Select --,"--Va rugam, selectati--",
1 column,1 coloana,
2 columns with left bar,2 coloane cu bara din stanga,
2 columns with right bar,2 coloane cu bara din dreapta,
3 columns,3 coloane,
About the calendar,Despre calendar,
All Empty Layout Pages,Toate Paginile Layout goale,
All One-Column Layout Pages,Toate Paginile Layout cu O Coloana,
All Pages,Toate Paginile,
All Pages (Print Version),Toate Paginile (Versiune Printare),
All Three-Column Layout Pages,Toate Paginile Layout cu Trei Coloane,
All Two-Column Layout Pages (Left Column),Toate Paginile Layout cu Doua Coloane (Coloana din stanga),
All Two-Column Layout Pages (Right Column),Toate Paginile Layout cu Doua Coloane (Coloana din dreapta),
Allow,Accepta,
Breadcrumbs,Breadcrumbs,
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">aici</a> daca nu s-a intamplat nimic",
Close,Inchide,
Close Window,Inchide fereastra,
DHTML Date/Time Selector,Selector DHTML Data/Timp ,
Date selection:,Selectare Data:,
Default Description,Descriere standard,
Default welcome msg!,"Mesaj de ""Bun Venit"" standard!",
Display %s first,Afiseaza intai %s,
Distributed under GNU LGPL. See %s for details.,Distribuit de GNU LGPL. Vezi %s pentru detalii.,
Drag to move,Trage pentru a muta,
Empty,Gol,
For latest version visit: %s,"Pentru ultima versiune, vizitati: %s",
Free Shipping on orders over 50$,Livrare gratuita pentru comenzile mai mari de 50$,
Go Today,Mergeti azi,
Help Us to Keep Magento Healthy,Ajutati-ne sa mentinem Magento sanatos,
Interface Language,Limba interfetei,
Items %s to %s of %s total,Articolele de la %s la %s din totalul de %s,
JavaScript seems to be disabled in your browser.,JavaScript pare a fi dezactivat in browser-ul dumneavoastra.,
Left Column,Coloana din stanga,
Main Content Area,Zona Continut Principal,
Navigation Bar,Bara de navigare,
Next,Urmatorul,
Next month (hold for menu),Urmatoarea luna (tineti apasat pentru meniu),
Next year (hold for menu),Urmatorul an (tineti apasat pentru meniu),
Page Bottom,Page Bottom,
Page Footer,Nota de subsol Pagina,
Page Header,Antet Pagina,
Page Top,Page Top,
Page:,Pagina:,
Prev. month (hold for menu),Luna anterioara (tineti apasat pentru meniu),
Prev. year (hold for menu),Anul anterior (tineti apasat pentru meniu),
Previous,Anterior,
Redirecting...,Se redirectioneaza...,
Report All Bugs,Raporteaza toate erorile,
Right Column,Coloana din dreapta,
Select Store,Selecteaza magazinul,
Select Store:,Selecteaza magazinul:,
Select date,Selecteaza data,
Show,Arata,
This is a demo store. Any orders placed through this store will not be honored or fulfilled.,Acesta este un magazin demo. Comenzile plasate prin intermediul acestui magazin nu vor fi onorate sau indeplinite.,
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Acest Site necesita cookies pentru a-i furniza toate caracteristicile. Pentru mai multe informatii asupra datelor incluse in cookies, Va rugam vizitati <a href=""%s"">pagina noastra de Privacy Policy</a>. Pentru a accepta cookies-urile din acest site, va rugam, faceti click pe butonul Accepta de mai jos.",
Time selection:,Selectare timp:,
Time:,Timp:,
"Welcome, %s!","Bun Venit, %s!",
You must have JavaScript enabled in your browser to utilize the functionality of this website.,Trebuie sa aveti JavaScript activat in browser-ul dumneavoastra pentru a utiliza functionalitatea acestui site.,
Your Language,Limba ta,
Your Language:,Limba ta:,
per page,per pagina,
Copyright,Copyright,
Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.,Magento este o marca inregistrata a Irubin Consulting Inc. DBA Varien. Copyright &copy  Irubin Consulting Inc., 
Default Keywords,Cuvinte cheie standard,
"Footer, ",Nota de Subsol,
Header,Antet,
HTML Head,Head HTML ,
Logo Image Alt,Alt logo,
Logo Image Src,Sursa logo,
Skip to Main Content,Mergi la pagina principala,
Previous Page,Pagina anterioara,
Next Page,Pagina urmatoare,
Default Robots,Setare robots implicita,
You're currently on:,Sunteti momentan pe :,
Welcome Text,Text de Bun Venit,
Title Prefix,Prefix Titlu,
Title Suffix,Sufix Titlu,
Default Title,Titlu Standard,
"%s-%s of %s","%s-%s of %s"
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magento Demo Store. Toate drepturile rezervate."
"&copy; 2015 Magento Demo Store. All Rights Reserved.","&copy; 2015 Magento Demo Store. Toate drepturile rezervate."
"- Click on any of the time parts to increase it","- Clic pe oricare din partile datei pentru a modifica"
"- Hold mouse button on any of the above buttons for faster selection.","- Tineti apasat butonul mouse-ului pe oricare din butoanele de mai sus pentru o selectie mai rapida."
"- Use the %s buttons to select month","- Folositi butoanele %s pentru a selecta luna"
"- Use the %s, %s buttons to select year","- Folositi butoanele %s, %s pentru a selecta anul"
"- or Shift-click to decrease it","- sau shift click pentru a decrementa"
"- or click and drag for faster selection.","- sau click si drag pentru o selectie mai rapida."
"-- Please Select --","-- Va rugam selectati --"
Account,Cont
"Left Column First (shows above main column on smaller screens)","Coloana din stanga prima (apare deasupra coloanei principale pe ecrane mai mici)"
Menu,Meniu
"Results per page","Rezultate pe pagina"
Search,Cautare
"View All","Vezi tot"
