An error occurred while clearing the external full page cache.,A aparut o eroare in timpul golirii cache-ului extern de pagina intreaga.
Cookie Lifetime (seconds),Durata Cookie (secunde)
Enable External Cache,Activeaza Cache Extern
External Cache Control,Control Cache Extern
External Full Page Cache Settings,Setari Cache extern de pagina intreaga
External full page cache.,Cache Extern de pagina intreaga
Failed to load external cache control,Incarcarea controlului Cache Extern a esuat
Flush External Page Cache,Goleste Cache Pagina Externa
"If empty, default value will be used.","Daca necompletat, va fi folosita valoarea standard."
The external full page cache has been cleaned.,Cache-ul extern de pagina intreaga a fost golit.
Zend Full Page Cache,Cache pagina intreaga Zend
"External Page Cache","Cache pagini extern"
