"""Remember Me"" Default Value","Valoare standard ""Memoreaza datele mele"""
"(Not %s?)","(Nu sunteti %s?)"
"* Required Fields","* Campuri obligatorii"
"Address","Adresa"
"Address Information","Informatii adresa"
"Already registered?","Sunteti deja inregistrat?"
"Back","Inapoi"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creand un cont cu magazinul nostru, veti putea efectua procesul de finalizare mai rapid, stoca multiple adrese de livrare, vizualiza si urmari comenzile in contul dumneavoastra si multe altele."
"Cannot load configuration from file %s.","Nu se poate incarca configuratia din fisierul %s."
"Checkout as Guest","Finalizeaza ca vizitator"
"Checkout as a Guest or Register","Finalizeaza ca vizitator sau inregistreaza-te"
"City","Oras"
"Clear Persistence on Log Out","Goleste modulul de persistenta (articolele din cos sunt memorate pana la urmatoarea logare) la delogare"
"Close","Inchide"
"Company","Firma"
"Confirm Password","Confirmare parola"
"Continue","Continua"
"Country","Tara"
"Create an Account","Creaza un cont"
"Easy access to your order history and status","Acces usor la istoricul si starea comenzilor"
"Email Address","Adresa e-mail"
"Enable ""Remember Me""","Activeaza ""Memoreaza datele mele"""
"Enable Persistence","Activeaza modulul de persistenta (articolele din cos sunt memorate pana la urmatoarea logare)"
"Fast and easy check out","Finalizare simpla si rapida"
"Fax","Fax"
"Forgot Your Password?","Ai uitat parola?"
"Forgot your password?","Ai uitat parola?"
"General Options","Optiuni generale"
"If you have an account with us, please log in.","Daca aveti cont la noi, va rugam sa va logati."
"Loading next step...","Se incarca urmatorul pas..."
"Login","Logare"
"Login Information","Informatii logare"
"Login or Create an Account","Logheaza-te sau Creaza cont"
"New Customers","Clienti noi"
"Password","Parola"
"Persist Shopping Cart","Cos de cumparaturi cu modul de persistenta"
"Persistence Lifetime (seconds)","Durata modulului de persistenta (secunde)"
"Persistent Shopping Cart","Cos de cumparaturi cu modul de persistenta"
"Personal Information","Informatii personale"
"Please log in below:","Va rugam sa va logati mai jos:"
"Please select region, state or province","Va rugam selectati judetul, statul sau regiunea"
"Register","Inregistreaza-te"
"Register and save time!","Inregistreaza-te si economiseste timp!"
"Register to Create an Account","Inregistreaza-te pentru a crea un cont"
"Register with us for future convenience:","Inregistreaza-te la noi pentru comoditate in viitor:"
"Registered Customers","Clienti inregistrati"
"Remember Me","Memoreaza datele mele"
"Save in address book","Salveaza in agenda"
"Select State/Province...","Selecteaza Stat/Judet..."
"Select a billing address from your address book or enter a new address.","Selectati o adresa de facturare din agenda sau introduceti o adresa noua."
"Ship to different address","Livreaza catre o alta adresa"
"Ship to this address","Livreaza catre aceasta adresa"
"Shopping cart has been updated with appropriate prices","Cosul de cumparaturi a fost actualizat cu preturi adecvate"
"Sign Up for Newsletter","Aboneaza-te la Newsletter"
"State/Province","Stat/Judet"
"Street Address","Adresa strada"
"Street Address %s","Adresa strada %s"
"Submit","Trimite"
"Telephone","Telefon"
"To proceed to Checkout, please log in using your email address.","Pentru a continua cu finalizarea, va rugam sa va logati folosind e-mail-ul dumneavoastra."
"VAT Number","Numar VAT"
"Welcome, %s!","Bine ai venit, %s!"
"What\'s this?","Ce este asta?"
"Zip/Postal Code","Cod postal"
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Bifand &quot;Tine-ma minte&quot; va va permite accesrea cosului de pe acest computer si cand nu sunteti logat"
"Checkout as a Guest","Checkout fara cont"
"Faster checkout","Checkout mai rapid"
"New Here?","Sunteti nou aici?"
"Please enter the following information to create your account.","Va rugam introduceti urmatoarele informatii pentru a va crea contul."
"Register and Checkout","Inregistrare si Checkout"
"Registration is free and easy!","Inregistrarea este gratuita si usoara!"
"Returning Customers","Clienti existenti"
"Save multiple shipping addresses","Salveaza mai multe adrese de livrare"
"Sign in to speed up your checkout process","Login pentru un proces de checkout mai rapid"
"View and track orders and more","Vizualizati si urmariti comenzile, plus multe altele"
"What's this?","Ce e asta?"
