Alert Email Sender,Expeditor e-mail-uri alerte
Alert subscription has been saved.,Abonarea la alerte a fost salvat.
Allow Alert When Product Comes Back in Stock,Permite alerta cand produsul a revenit in stoc.
Allow Alert When Product Price Changes,Permite alerta cand se schimba pretul produsului.
Click here not to receive alerts for this product,Click aici sa nu primesti alerte pentru acest produs
Error Email Recipient,Destinatar e-mail erori
Error Email Sender,Expeditor e-mail erori
Error Email Template,Template e-mail erori
Frequency,Frecventa
Not enough parameters.,Parametri insuficienti
Price Alert Email Template,Sablon de e-mail alerta pentru pret.
Price:,Pret:
Product Alerts,Alerte pentru produs
Product Alerts Run Settings,Setari functionare alerte pentru produs
Product alerts Cron error,Eroare Cron alerte pentru produs
Product price alert,Alerte de pret pentru produs
Product stock alert,Alerte de stoc pentru produs
Regular Price:,Pret normal:
Sign up for price alert,Aboneaza-te la alerte de pret
Sign up to get notified when this product is back in stock,Aboneaza-te pentru a fi anuntat cand reintra produsul in stoc.
Special price:,Pret special:
Start Time,Timpul inceperii
Stock Alert Email Template,Sablon de e-mail alerta pentru stoc.
The alert subscription has been deleted.,Abonarea la alerte a fost stearsa.
The alert subscription has been saved.,Abonarea la alerte a fost salvata.
The product is not found.,Produsul nu este gasit.
The product was not found.,Produsul nu a fost gasit.
Unable to update the alert subscription.,Abonarea la alerte nu poate fi actualizata.
Unsubscribe from all price alerts,Dezaboneaza-te de la toate alertele de pret.
Unsubscribe from all stock alerts,Dezaboneaza-te de la toate alertele de stoc.
You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:,Primesti acest anunt deoarece te-ai abonat sa primesti notificari cand urmatoarele produse reintra in stoc:
You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:,Primesti acest anunt deoarece te-ai abonat sa primesti notificari cand urmatoarele produse isi schimba pretul:
You will no longer receive price alerts for this product.,Nu vei mai primi alerte de pret pentru acest produs.
You will no longer receive stock alerts for this product.,Nu vei mai primi alerte de stoc pentru acest produs.
You will no longer receive stock alerts.,Nu vei mai primi alerte de stoc.
Alert subscription was saved successfully,Abonarea la alerte a fost salvata cu succes.
Alert subscription was deleted successfully,Abonarea la alerte a fost stearsa cu succes.
Allow alert when product comes back in stock,Permite alerte cand reintra produsul in stoc
Allow alert when product price changes,Permite alerte cand se schimba pretul produsului
You will no longer receive price alerts for this product,Nu vei mai primi alerte de pret pentru acest produs.
You will no longer receive stock alerts for this product,Nu vei mai primi alerte de stoc pentru acest produs
You will no longer receive stock alerts,Nu vei mai primi alerte de stoc.
Not enough parameters,Parametri insuficienti
Product not found,Produsul nu a fost gasit.
Please try again later,Te rugam sa reincerci mai tarziu
Price alert Email Template,Sablon de e-mail alerte pret
Stock alert Email Template,Sablon de e-mail alerte stoc
