Abandoned Carts,Cosuri de cumparaturi abandonate
Abandoned carts,Cosuri de cumparaturi abandonate
Action,Actiune
Add to Cart,Adauga in cos
Add to Compare,Adauga la Compara
Add to Wishlist,Adauga la Favorite
Any,Oricare
Applied Coupon,Cupon folosit
Applies to Any of the Specified Order Statuses,Se aplica la oricare din starile comenzilor specificate
Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.,Sunteti sigur ca doriti sa reimprospatati Statisticile Perioadei de Activitate? Poate avea impact asupra performantei in timpul acestei operatii.
Are you sure?,Sunteti sigur?
Avg. Approved Rating,Evaluarea Medie Aprobata
Avg. Rating,Evaluare Medie
Bestsellers,Cele mai vandute
Bought from wishlists,Cumparat din Favorite
CSV,CSV
Carts,Cosuri
Catalog Category (Without Subcategories),Categorie Catalog (Fara subcategorii)
Compared Products Grid Template,Sablon tip grila produse comparate
Compared Products List Template,Sablon tip lista produse comparate
Coupons,Cupoane
Coupons Usage Report,Raport de utilizare a cupoanelor
Created At,Creat la
Current Month Starts,Luna curenta incepe
Customer,Client
Customer Name,Nume client
Customer Tags,Etichete client
Customers,Clienti
Customers Report,Raport clienti
Customers Reviews,Recenzii clienti
Customers Tags,Etichete clienti
Customers by Number of Orders,Clienti dupa Numarul de Comenzi
Customers by Orders Total,Clienti dupa Totalul Comenzilor
Customers by number of orders,Clienti dupa numarul de comenzi
Customers by orders total,Clienti dupa totalul comenzilor
Customers that have wishlist: %s%,Clienti care au Favorite: %s%
Dashboard,Panou de Control 
Day,Zi
Default Recently Compared Products Count,Numaratoare standard a produselor comparate recent
Default Recently Viewed Products Count,Numaratoare standard a produselor vizualizate recent
Description,Descriere
Detail,Detaliu
Downloads,Descarcari
Email,E-mail
Empty Rows,Randuri libere
Excel XML,XML Excel
Filter,Filtreaza
First Name,Prenume
From,De la
Guest,Vizitator
Hits,Accesari
ID,ID
IP Address,Adresa IP
Index model name must be defined,Indexul numelui modelului trebuie sa fie definit
Invalid date specified.,Data specificata nevalida.
Invoiced,Facturat
Items in Cart,Articole in cos
Last Name,Nume
Last Review,Ultima recenzie
Link,Link
List of Products Recently Compared and Removed from the Compare List by Visitor,Lista produselor comparate si sterse recent din lista de Comparare de catre vizitator
List of Products Recently Viewed by Visitor,Lista de produse recent vizualizate de catre vizitator
Low Stock,Stoc limitat
Low stock,Stoc limitat
Match Period To,Potriveste perioada la
Month,Luna
Most Viewed,Cele mai vizualizate
Name,Nume
New Accounts,Conturi noi
No,Nu
Number Added,Numar adaugate
Number Fulfilled,Numar indeplinite
Number Of Reviews,Numar de recenzii
Number Purchased,Numar achizitionate
Number Viewed,Numar vizualizate
Number of Items,Numar de articole
Number of New Accounts,Numarul conturilor noi
Number of Products to display,Numarul produselor de afisat
Number of Reviews,Numar de recenzii
Number of Times Deleted,Numarul de stergeri
Number of Total Tags,Numarul total al etichetelor
Number of Unique Tags,Numar de etichete unice
Number of Views,Numar de vizualizari
Number of items bought from a wishlist: %s,Numarul de articole cumparate din Favorite: %s
Number of times wishlists have been shared (emailed): %s,De cate ori favoritele au fost partajate (prin e-mail): %s
Number of wishlist conversions: %s,Numar de conversii din Favorite: %s
Number of wishlist referrals: %s,Numarul de sesizari din Favorite: %s
Number of wishlists: %s,Numar de Favorite: %s
Order Status,Stare Comanda
Order Taxes Report Grouped by Tax Rate,Raportul taxelor de comanda grupat in functie de cursul TVA
Orders,Comenzi
Out of stock,Stoc epuizat
Period,Perioada
Poducts Report,Raport produse
Popular Tags,Etichete populare
Popularity,Popularitate
Price,Pret
Product Name,Nume produs
Product Reviews,Recenzii produs
Product SKU,Cod Produs
Product Tags,Etichete produs
Products,Produse
Products Ordered,Produse comandate
