All Websites,Toate Site-urile
Apply Discounts To FPT,Aplica Reduceri la FPT
Apply Tax To FPT,Aplica TVA la FPT
Display Prices In Emails,Afiseaza Preturi in E-mail
Display Prices In Product Lists,Afiseaza Preturi in Listele de Produse
Display Prices In Sales Modules,Afiseaza Perturi in Modulele de Vanzari
Display Prices On Product View Page,Afiseaza Preturi pe Pagina de Vizualizare a Produsului
Enable FPT,Activeaza FPT
Excluding FPT,Excludere FPT
"Excluding FPT, FPT description, final price","Excludere FPT, descriere FPT, pret final"
Fixed Product Tax,TVA Produs  fix
Fixed Product Taxes,TVA-uri Produse  fixe
Include FPT In Subtotal,Include FPT in Subtotal
Including FPT and FPT description,Include FPT si descriere FPT
Including FPT and FPT description [incl. FPT VAT],Include FPT si descriere FPT [incl. FPT VAT]
Including FPT only,Include numai  FPT
Total,Total
Total Incl. Tax,Total TVA Incl.
Total incl. tax,Total TVA incl. 
"FPT Tax Configuration","FPT Tax Configuration"
"Loaded and Displayed with Tax","Loaded and Displayed with Tax"
"Not Taxed","Not Taxed"
Taxed,Taxed
"Total excl. tax","Total excl. tax"
Total:,Total:
