%s,%s
-- Please Select --,"*--Va rugam, selectati  --"
Actions,Actiuni
Add Layout Update,Adauga actualizare plan
Add New Widget Instance,Adauga instanta noua la widget
All,Toate
All Pages,Toate paginile
All Product Types,Toate tipurile de produse
Anchor Categories,Categorii fixate
Apply,Aplica
Assign to Store Views,Atribuie vitrinelor
Big Image,Imagine mare
Block Reference,Referinta bloc
CMS,CMS
Categories,Categorii
Choose...,Alege...
Close,Inchide
Continue,Continua
Default Template,Sablon standard
Delete,Sterge
Design Package/Theme,Design Pachet/Tema
Export to:,Exporta catre:
Frontend Properties,Proprietati mod client
Generic Pages,Pagini generale
Images,Imagini
Insert Widget,Insereaza Widget
Insert Widget...,Insereaza Widget...
Layout Updates,Actualizari planuri
Manage Widget Instances,Administrare instante Widget
New Instance,Instanta noua
New Widget Instance,Instanta Widget noua
Next page,Urmatoarea pagina
Non-Anchor Categories,Categorii nefixate
Not Selected,Neselectat
Open Chooser,Deschide selector
Page,Pagina
Please Select Block Reference First,"Va rugam, intai selectati referinta bloc"
Previous page,Pagina anterioara
Products,Produse
Remove Layout Update,Sterge actualizarea planului
Save and Continue Edit,Salveaza si continua editarea
Select All,Selecteaza tot
Select Visible,Selecteaza vizibile
Settings,Setari
Sort Order,Sorteaza comanda
Sort Order of widget instances in the same block reference,Sorteaza ordinea instantelor widget-ului in aceeasi referinta bloc
Specific %s,Specific %s
Specified Page,Pagina specificata
Template,Sablon
The information in this tab has been changed.,Informatiile din acest tab au fost modificate
The widget instance has been deleted.,Instanta widget-ului a fost stearsa.
The widget instance has been saved.,Instanta widget-ului a fost salvata.
This tab contains invalid data. Please solve the problem before saving.,Acest tab contine date nevalide. Va rugam sa rezolvati problema inainte de a salva.
Thumbnail,Imagini in miniatura (Thumbnail)
Total %d records found,Un total de %d inregistrari au fost gasite
Type,Tip
Unselect All,Deselecteaza tot
Unselect Visible,Deselecteaza vizibile
View,Vizualizare
Widget,Widget
"Widget ""%s""","Widget ""%s"""
Widget ID,ID Widget
Widget Insertion,Inserare Widget
Widget Instance,Instanta Widget
Widget Instance Title,Titlu instanta Widget
Widget Options,Optiuni Widget
Widget Type,Tip Widget
Widget Type is not specified,Tipul Widget-ului nu a fost specificat.
Widget instance is not full complete to create.,"Instanta Widget-ului nu este plina, completati pentru a crea."
Widgets,Widget-uri
Wrong widget instance specified.,Instanta specificata a Widget-ului este incorecta.
items selected,articole selectate
of %s pages,de %s pagini
per page,per pagina
"An error occurred during saving a widget: %s","O eroare a avut loc in timpul salvarii Widgetului: %s"
"Error occurs during loading chooser.","Eroare are loc in timpul alegerii loaderului."
"Go to Next page","La pagina urmatoare"
"Go to Previous page","La pagina anterioara"
