"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Toate cardurile / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International"
CartaSi (powered by Moneybookers) - Italy,CartaSi (powered by Moneybookers) - Italia
Carte Bleue (powered by Moneybookers) - France,Carte Bleue (powered by Moneybookers) - Franta
Customer ID,ID Client
Dankort (powered by Moneybookers) - Denmark,Dankort (powered by Moneybookers) - Danemarca
EPS Online-??berweisung (powered by Moneybookers) - Austria,EPS Online-??berweisung (powered by Moneybookers) - Austria
Enabled,Activat
Find out more about Online Bank Transfer,Afla mai multe despre Transfe Bancar Online
Giropay (powered by Moneybookers) - Germany,Giropay (powered by Moneybookers) - Germania
Laser (powered by Moneybookers) - Ireland,Laser (powered by Moneybookers) - Irlanda
Lastschrift (ELV) (powered by Moneybookers) - Germany,Lastschrift (ELV) (powered by Moneybookers) - Germania
Loading secure payment page (SSL),Se incarca pagina de plata securizata (SSL)
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (powered by Moneybookers) - Regatul Unit, Austria, Spania"
Moneybookers,Moneybookers
Moneybookers Settings,Setari Moneybookers
Moneybookers Transaction ID: %s,ID Tranzactie Moneybookers: %s
Moneybookers eWallet,Portofel Electronic Moneybookers
More information about Moneybookers,Mai multe informatii despre Moneybookers
Nordea Solo (powered by Moneybookers) - Finland,Nordea Solo (powered by Moneybookers) - Finlanda
Nordea Solo (powered by Moneybookers) - Sweden,Nordea Solo (powered by Moneybookers) - Suedia
Online Bank Transfer (powered by Moneybookers),Transfer Bancar Online (powered by Moneybookers)
Order ID,ID Comanda
POLi (powered by Moneybookers) - Australia,POLi (powered by Moneybookers) - Australia
Payment failed.,Plata a esuat.
Payment from Applicable Countries,Plata din tarile acceptate
Payment from Specific Countries,Plata din anumite tari
Payment has not been processed yet.,Plata nu a fost inca procesata.
Payment was canceled.,Plata a fost anulata.
Pending bank transfer created.,A fost creat un transfer bancar in asteptare
Please pay your order now,"Va rugam, platiti comanda acum"
Postepay (powered by Moneybookers) - Italy,Postepay (powered by Moneybookers) - Italia
Powered by Moneybookers,Powered by Moneybookers
Przelewy24 (powered by Moneybookers) - Poland,Przelewy24 (powered by Moneybookers) - Polonia
Sofort??berweisung (powered by Moneybookers) - Germany,Sofort??berweisung (powered by Moneybookers) - Germania
Sort Order,Sortare comanda
The amount has been authorized and captured by Moneybookers.,Suma a fost autorizata si preluata de  Moneybookers.
The customer was redirected to Moneybookers.,Clientul a fost redirectionat catre Moneybookers.
The order has been canceled.,Comanda a fost anulata.
Title,Titlu
You will be redirected to our secure payment page when you place an order.,Veti fi redirectionat catre pagina de plata securizata cand plasati o comanda.
eNETS (powered by Moneybookers) - Singapore,eNETS (powered by Moneybookers) - Singapore
iDeal (powered by Moneybookers) - Netherlands,iDeal (powered by Moneybookers) - Olanda
